"","bln.err2","opt.rer.unregularized.err2","opt.rer.ue.zr.full.err2","opt.rer.eq.zr.half.err2","opt.rer.ue.zr.half.err2","opt.rer.eq.eq.half.err2","opt.rer.ue.eq.half.err2","opt.rer.ue.mn.half.err2","opt.rer.ue.mn.full.err2","opt.rer.ue.mn.js1.err2","opt.rer.mix1.err2","opt.cov.unregularized.err2","opt.cov.ue.zr.full.err2","opt.cov.eq.zr.half.err2","opt.cov.ue.zr.half.err2","opt.cov.eq.eq.half.err2","opt.cov.ue.eq.half.err2","opt.cov.ue.mn.half.err2","opt.cov.ue.mn.full.err2","opt.cov.ue.mn.js1.err2","opt.cov.mix1.err2","fpc.add.unregularized.err2","fpc.add.ue.zr.full.err2","fpc.add.eq.zr.half.err2","fpc.add.ue.zr.half.err2","fpc.add.eq.eq.half.err2","fpc.add.ue.eq.half.err2","fpc.add.ue.mn.half.err2","fpc.add.ue.mn.full.err2","fpc.add.ue.mn.js1.err2","fpc.add.mix1.err2","fpc.max.unregularized.err2","fpc.max.ue.zr.full.err2","fpc.max.eq.zr.half.err2","fpc.max.ue.zr.half.err2","fpc.max.eq.eq.half.err2","fpc.max.ue.eq.half.err2","fpc.max.ue.mn.half.err2","fpc.max.ue.mn.full.err2","fpc.max.ue.mn.js1.err2","fpc.max.mix1.err2","mle.cov.unregularized.err2","mle.cov.ue.zr.full.err2","mle.cov.eq.zr.half.err2","mle.cov.ue.zr.half.err2","mle.cov.eq.eq.half.err2","mle.cov.ue.eq.half.err2","mle.cov.ue.mn.half.err2","mle.cov.ue.mn.full.err2","mle.cov.ue.mn.js1.err2","mle.cov.mix1.err2","corpcor.unregularized.err2","corpcor.ue.zr.full.err2","corpcor.eq.zr.half.err2","corpcor.ue.zr.half.err2","corpcor.eq.eq.half.err2","corpcor.ue.eq.half.err2","corpcor.ue.mn.half.err2","corpcor.ue.mn.full.err2","corpcor.ue.mn.js1.err2","corpcor.mix1.err2"
"9",1,3.51165744908631,2.29609034348125,2.45254598481431,3.07161838863348,1.79506880076242,1.79506880076242,2.74682501671655,1.75535528162503,2.57597613628705,6.73256499268749,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,0.996492678539082,6.73256499268749,3.38621576532978,2.2570082577588,2.42060126965615,3.000393125019,1.78214776964389,1.78214776964389,2.66123777028479,1.70472410958293,2.48892762759979,6.49285249930363,3.38621576532978,2.2570082577588,2.42060126965615,3.000393125019,1.78214776964389,1.78214776964389,2.66123777028479,1.70472410958293,2.48892762759979,6.49285249930363,1.94973681391865,1.78406472722676,1.65239811708471,2.11972279614268,1.41031724167518,1.41031724167518,1.95681854800774,1.44221453593843,1.90738152641677,4.44849980219147,0.997362587113646,0.997152962901427,0.997247644946633,0.997353407643889,0.997042546687073,0.997042546687073,0.9971899289372,0.996753167751228,0.99688766120771,0.999610474976713
"10",1,3.99984188666389,2.45307338809486,2.85914997654232,3.25886657815026,1.9912095093173,1.9912095093173,2.98347080335392,1.99168376720814,2.73386633972454,8.60722077669472,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,1.01656979023641,8.60722077669472,3.8324981912513,2.39643881061953,2.77920837603915,3.14803123454084,1.96475962347141,1.96475962347141,2.85394922209141,1.90024932910319,2.6137561508589,8.34490541979281,3.8324981912513,2.39643881061953,2.77920837603915,3.14803123454084,1.96475962347141,1.96475962347141,2.85394922209141,1.90024932910319,2.6137561508589,8.34490541979281,1.16500847080245,1.38171168923017,1.12675992065925,1.4449708344499,1.10676929848709,1.10676929848709,1.40743401662012,1.25671598604338,1.40161565797251,2.84436658758379,1.01594539477015,1.01618021062842,1.01605009382333,1.01601488552868,1.01621367306693,1.01621367306693,1.01618763759814,1.01644539415985,1.01642810511421,1.01638284843425
"11",1,4.1924516050634,1.66154938765975,2.27529667790905,2.7719396837868,1.45141953466432,1.45141953466432,2.3256041570806,1.31950703279695,1.97642685457361,6.41588835488022,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,1.00100472219503,6.41588835488022,3.83946837341334,1.62220935163667,2.19493805182084,2.63861863335439,1.43378242884153,1.43378242884153,2.18920154468421,1.27932415283728,1.8699969866527,5.91377710255032,3.83946837341334,1.62220935163667,2.19493805182084,2.63861863335439,1.43378242884153,1.43378242884153,2.18920154468421,1.27932415283728,1.8699969866527,5.91377710255032,0.27978784798927,0.348419102731511,0.468748696848899,0.241771905243479,0.654198406418227,0.654198406418227,0.266813149246901,0.495349357320888,0.352052341033393,2.38095108840491,1.01555013143289,1.01048142270109,1.01394407280338,1.01357352535088,1.01077839254852,1.01077839254852,1.01112633290163,1.00505670398789,1.00826636767643,1.01586866092696
"12",1,0.87953310825683,1.20523061582556,0.985803534271202,1.24147579874456,1.00834082826112,1.00834082826112,1.24489154198358,1.13770056302846,1.22138236328985,2.80774705504609,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,1.00714145050813,2.80774705504609,0.886650856423786,1.1988725528147,0.986737793681322,1.23358998205135,1.00853838857149,1.00853838857149,1.2370934155416,1.1326749019191,1.21387903357439,2.70557860059223,0.886650856423786,1.1988725528147,0.986737793681322,1.23358998205135,1.00853838857149,1.00853838857149,1.2370934155416,1.1326749019191,1.21387903357439,2.70557860059223,0.617488087714458,0.98267438875527,0.823258980482501,0.895441412814343,0.912600016621392,0.912600016621392,0.937788111549071,0.998562625387625,0.947066361015498,2.74152903117639,1.0138075870518,1.01086643368548,1.0127585399427,1.01278315532875,1.01106246731466,1.01106246731466,1.01102498929363,1.00829847734946,1.00724969471894,1.01748542998501
"13",1,2.67880932765535,2.99484331007871,1.89729034707722,3.60118431552271,1.54921120396811,1.54921120396811,3.25458074955863,2.29021423648704,3.16465571989092,11.767710144663,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,1.01063872073242,11.767710144663,2.5300997932391,2.91021510816303,1.88209252297087,3.46625059610578,1.54380552287818,1.54380552287818,3.1252199151331,2.1947913634045,3.03629830593365,11.2536550829357,2.5300997932391,2.91021510816303,1.88209252297087,3.46625059610578,1.54380552287818,1.54380552287818,3.1252199151331,2.1947913634045,3.03629830593365,11.2536550829357,1.30707978321199,2.27501759721716,1.332789584889,2.43612089433027,1.24338822696838,1.24338822696838,2.29514233414223,1.80157853062901,2.28917595196468,8.96901418376492,1.03266479887116,1.02949174824273,1.03013058299403,1.0333056847755,1.02527985544279,1.02527985544279,1.02987732343114,1.01932023633019,1.02431320789234,1.04046524242405
"14",1,1.34961441776189,1.5395352492465,1.41002239432237,1.51128056871534,1.32623424467638,1.32623424467638,1.50761759078169,1.43459816458348,1.47356130171175,3.72627816566684,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,1.00047105917719,3.72627816566684,1.34998886718342,1.53675897634604,1.40920648375856,1.51005269725134,1.32548177474717,1.32548177474717,1.50528580261538,1.42871092498036,1.4708901623423,3.70085356167428,1.34998886718342,1.53675897634604,1.40920648375856,1.51005269725134,1.32548177474717,1.32548177474717,1.50528580261538,1.42871092498036,1.4708901623423,3.70085356167428,1.297865187657,1.50637420632993,1.38002049247474,1.45115054110805,1.31090333626311,1.31090333626311,1.45264631670076,1.41369730265792,1.41932296166296,3.66755877867222,1.00117456990088,1.00091652414919,1.00102284905209,1.00116822731711,1.00082362562606,1.00082362562606,1.00099731758143,1.00062880587536,1.00032496802508,1.00194473342244
"15",1,1.24450573002741,1.20125770479049,1.22201664765558,1.31082411718168,1.14136690146347,1.14136690146347,1.27011951814935,1.11611236569524,1.27196502580471,2.55280619646444,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,1.00717450688559,2.55280619646444,1.2402072799905,1.19826223078742,1.21875885660004,1.30609486644657,1.13972620054643,1.13972620054643,1.26528544643423,1.1133797557969,1.26722882641046,2.52500135177261,1.2402072799905,1.19826223078742,1.21875885660004,1.30609486644657,1.13972620054643,1.13972620054643,1.26528544643423,1.1133797557969,1.26722882641046,2.52500135177261,1.16660308291793,1.15999112807976,1.16381278887554,1.24219387849362,1.10579659781764,1.10579659781764,1.2130368576293,1.09310662905838,1.21673198414087,2.33337304057487,1.00813341753272,1.00784366709331,1.0080118900456,1.00805393929408,1.00780174774326,1.00780174774326,1.00788782669059,1.00746464135225,1.00728825741252,1.00930346666812
"16",1,2.05680541502242,1.53487248190587,1.64501233885591,1.96914882558811,1.31536366392652,1.31536366392652,1.83110000542799,1.35254729012836,1.68586056626396,3.39104507103425,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,0.996326166624912,3.39104507103425,2.04624082426292,1.52586702963599,1.63771073525624,1.95170977300252,1.31271396480935,1.31271396480935,1.81136856422611,1.34006494581491,1.6677203521097,3.36376303011473,2.04624082426292,1.52586702963599,1.63771073525624,1.95170977300252,1.31271396480935,1.31271396480935,1.81136856422611,1.34006494581491,1.6677203521097,3.36376303011473,1.69200609533515,1.38886544781479,1.49818280406323,1.6332535741305,1.26485448415915,1.26485448415915,1.59732719847141,1.29418715301255,1.52320811299468,3.46117376835316,0.996498052641412,0.996440745465976,0.996463789563695,0.996499284110488,0.996417164765449,0.996417164765449,0.996449152822193,0.996365451338232,0.996310136262378,1.00005341830697
"17",1,0.811109809236747,1.28357117589773,0.956657185873582,1.21876140657518,0.997827976312215,0.997827976312215,1.27234303458203,1.22986862412804,1.23509836991506,3.2361543716795,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,1.00203883811538,3.2361543716795,0.819172808300394,1.27697891553631,0.95869587880038,1.2148753253993,0.998580652836232,0.998580652836232,1.26672879844502,1.22222354441091,1.23067733489029,3.14365144674805,0.819172808300394,1.27697891553631,0.95869587880038,1.2148753253993,0.998580652836232,0.998580652836232,1.26672879844502,1.22222354441091,1.23067733489029,3.14365144674805,0.618871847028673,1.06745853628834,0.819628300003821,0.892122930438013,0.915096207138472,0.915096207138472,0.956063103328809,1.09204880189899,0.899338088143716,3.7651319360488,1.00206759032157,1.00206558018083,1.00206636020479,1.00207074479348,1.00206230415503,1.00206230415503,1.00206798193542,1.00205215449211,1.0020434947104,1.00313888042409
"18",1,4.64720013838301,2.33196311586909,3.08148679003361,3.42514423189932,2.00922732648269,2.00922732648269,2.89166902096352,1.68575875892632,2.62591366370436,10.478434059402,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,1.01290486348622,10.478434059402,4.48928508011009,2.29420419623548,3.01496722423915,3.34557445652663,1.9871631738987,1.9871631738987,2.81295728013973,1.65031213218136,2.5559487116828,10.2227905624573,4.48928508011009,2.29420419623548,3.01496722423915,3.34557445652663,1.9871631738987,1.9871631738987,2.81295728013973,1.65031213218136,2.5559487116828,10.2227905624573,3.923444546897,2.17004666551602,2.70225753874583,3.08176738461565,1.8518086264668,1.8518086264668,2.62110097578638,1.59494751019322,2.43138262211875,9.33780346647718,1.01268059963949,1.01278344120617,1.01272874553016,1.0127019723504,1.01279419269253,1.01279419269253,1.0127726691468,1.01287432181466,1.01302532307401,1.01190336585705
