"","bln.err2","opt.rer.unregularized.err2","opt.rer.ue.zr.full.err2","opt.rer.eq.zr.half.err2","opt.rer.ue.zr.half.err2","opt.rer.eq.eq.half.err2","opt.rer.ue.eq.half.err2","opt.rer.ue.mn.half.err2","opt.rer.ue.mn.full.err2","opt.rer.ue.mn.js1.err2","opt.cov.unregularized.err2","opt.cov.ue.zr.full.err2","opt.cov.eq.zr.half.err2","opt.cov.ue.zr.half.err2","opt.cov.eq.eq.half.err2","opt.cov.ue.eq.half.err2","opt.cov.ue.mn.half.err2","opt.cov.ue.mn.full.err2","opt.cov.ue.mn.js1.err2","fpc.add.unregularized.err2","fpc.add.ue.zr.full.err2","fpc.add.eq.zr.half.err2","fpc.add.ue.zr.half.err2","fpc.add.eq.eq.half.err2","fpc.add.ue.eq.half.err2","fpc.add.ue.mn.half.err2","fpc.add.ue.mn.full.err2","fpc.add.ue.mn.js1.err2","fpc.max.unregularized.err2","fpc.max.ue.zr.full.err2","fpc.max.eq.zr.half.err2","fpc.max.ue.zr.half.err2","fpc.max.eq.eq.half.err2","fpc.max.ue.eq.half.err2","fpc.max.ue.mn.half.err2","fpc.max.ue.mn.full.err2","fpc.max.ue.mn.js1.err2","mle.cov.unregularized.err2","mle.cov.ue.zr.full.err2","mle.cov.eq.zr.half.err2","mle.cov.ue.zr.half.err2","mle.cov.eq.eq.half.err2","mle.cov.ue.eq.half.err2","mle.cov.ue.mn.half.err2","mle.cov.ue.mn.full.err2","mle.cov.ue.mn.js1.err2","corpcor.unregularized.err2","corpcor.ue.zr.full.err2","corpcor.eq.zr.half.err2","corpcor.ue.zr.half.err2","corpcor.eq.eq.half.err2","corpcor.ue.eq.half.err2","corpcor.ue.mn.half.err2","corpcor.ue.mn.full.err2","corpcor.ue.mn.js1.err2"
"1",1,2.24430709612194,1.81807114354526,1.82597066712784,2.15033386894277,1.49609260836643,1.49609260836643,2.03619365471908,1.56101394034155,1.95570594406288,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,1.00046722418266,2.221484244171,1.75239837390863,1.87545844885567,2.09272400157229,1.52534515042036,1.52534515042036,1.88832753251409,1.37782013816269,1.76345726157255,2.29040890303604,1.78469552185658,1.91338418794724,2.14374762449268,1.54343958400814,1.54343958400814,1.92933320164526,1.39563187830094,1.79436246183987,0.532776065408667,0.618214241601661,0.805413357836268,0.441477208648609,0.91345184783186,0.91345184783186,0.447810888425898,0.659878826443501,0.478332136517493,0.980771913999439,0.989983238708874,0.985143359040322,0.982789374195557,0.990835508805966,0.990835508805966,0.988770095323823,0.997571644725877,1.0143739820999
"2",1,2.42172469704062,1.87510160015676,1.92901079911712,2.29219570418737,1.5429547060216,1.5429547060216,2.15236891177076,1.59587866677611,2.06885457948624,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,0.999214592543243,2.40450546277407,1.8151934474017,1.97470277310704,2.23042334363755,1.56823865031446,1.56823865031446,2.00899661357229,1.42945168336966,1.89041430136062,2.46522878864066,1.84490431750277,2.00721760800855,2.27907206525038,1.58339871954631,1.58339871954631,2.05060236160995,1.44923765972309,1.92790686153024,0.537140123804443,0.631007149892898,0.770234781668721,0.465308374650436,0.886856341458297,0.886856341458297,0.475543265152836,0.702224169903846,0.506078610667908,0.988768145475618,0.993979244717577,0.991234218068621,0.989943247341617,0.994330854262689,0.994330854262689,0.993216649885695,0.997863472980329,1.00929646017359
"3",1,2.32911034715368,1.94035944222676,1.93285846379646,2.33273800606521,1.5593248181968,1.5593248181968,2.20927005463276,1.66434682467879,2.12768220792862,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,1.00094879923657,2.43788240482072,1.93020425953296,2.00934137376692,2.35667666798889,1.59636676410553,1.59636676410553,2.15024562835629,1.52950162435771,2.02313822718347,2.45822928413203,1.94335001064967,2.02006906225373,2.37523929491431,1.60135684546082,1.60135684546082,2.17483485165564,1.54973160680699,2.05298121794193,0.871434173581457,0.977747635239083,1.00595091912589,0.87806114697961,1.04142123211605,1.04142123211605,0.900972130607012,1.00110253491263,0.903229475359373,0.996946553594634,0.999165016216185,0.997992451633621,0.997471370749301,0.999232255907237,0.999232255907237,0.998849905981446,1.000587792558,1.00566001754405
"4",1,2.39281028356237,1.88141939936364,1.866273442971,2.30160710440855,1.49422779703716,1.49422779703716,2.14875748565407,1.5841866095232,2.05255689748163,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,1.00093160597194,2.45400977052489,1.88166907427469,1.9243294847755,2.32154197756187,1.52380809123282,1.52380809123282,2.11284008782218,1.51120944174971,1.99352566986086,2.46875983930138,1.88615393793097,1.92997435920157,2.33038137863346,1.52597292091594,1.52597292091594,2.12689849749016,1.52268358277137,2.01206890423399,0.784009920068279,0.932889902483775,0.958471068087779,0.809326501558011,1.00917927176725,1.00917927176725,0.83566037349492,0.963138785404551,0.864242768141268,1.00138393366953,1.00203417344046,1.00163629251002,1.00157025290925,1.00174888836998,1.00174888836998,1.00197425310587,1.00180366156144,1.00496422245964
"5",1,2.88135757842495,2.28305614522201,2.44187847396338,2.96875563150272,1.88816480801693,1.88816480801693,2.73076420238744,1.8114771907417,2.56822595909082,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,1.00385665060528,3.08250212282429,2.2428262540623,2.49515789129467,2.96236939642247,1.89498645471317,1.89498645471317,2.64602743768311,1.68084483440377,2.42520390374626,3.05274907367942,2.25776581566741,2.49426001130834,2.97459229168913,1.90197571359666,1.90197571359666,2.66892913676703,1.70543014725567,2.46071542362131,0.428301668989436,0.558882827239423,0.625567740213916,0.376501116264336,0.80359991292212,0.80359991292212,0.400613517888545,0.689810455202698,0.387040754345415,1.00437405245554,1.00427963792792,1.00432030373201,1.00437437632451,1.00420485759863,1.00420485759863,1.00429814941144,1.00404181164867,1.00406514195628
"6",1,1.99014758458274,1.85024285232849,1.70840924300872,2.21430821678183,1.42927610547209,1.42927610547209,2.06678226799805,1.55535739189779,2.00960969039399,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,1.00106535026281,2.03787827613801,1.84239342732036,1.72932292107573,2.21460483200679,1.43844407139641,1.43844407139641,2.04735597657568,1.52225605757931,1.9835117876013,2.03787827613801,1.84239342732036,1.72932292107573,2.21460483200679,1.43844407139641,1.43844407139641,2.04735597657568,1.52225605757931,1.9835117876013,0.834387053441868,1.06041076069072,0.983732631490673,0.950501024328049,1.0419762193958,1.0419762193958,1.01124690276906,1.12456380923652,1.05312369424007,1.00337891750577,1.00243191640351,1.00294027833095,1.00317727590442,1.0023169990213,1.0023169990213,1.00247891893819,1.00146869363318,1.00000770488128
"7",1,1.99701716939541,1.86726876563605,1.80835612282359,2.15155643719439,1.50856272598868,1.50856272598868,2.0414856206237,1.5812018107021,1.94337426345299,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,0.996704399842251,2.0247392660478,1.8634376940156,1.81569706580924,2.15595942460755,1.51159938728141,1.51159938728141,2.0334737801319,1.56031769719216,1.93021044577774,2.0247392660478,1.8634376940156,1.81569706580924,2.15595942460755,1.51159938728141,1.51159938728141,2.0334737801319,1.56031769719216,1.93021044577774,1.47130720310487,1.57214148717801,1.42723508572181,1.68936106898527,1.29849177620095,1.29849177620095,1.64341245111777,1.40328505482052,1.58169874445844,1.00289243798632,1.0011048244007,1.00204872786193,1.00256640185401,1.00057099930566,1.00057099930566,1.00131043532654,0.998394788137726,0.999595840649509
"8",1,1.55000779493854,1.44184032163712,1.32434868110954,1.61920475760529,1.19069086569789,1.19069086569789,1.54979433948987,1.31791145399325,1.50195037462766,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.00213996465575,1.56158406481232,1.44528098680238,1.33496933438113,1.62691355845997,1.19657105025805,1.19657105025805,1.55166934213419,1.31391394985759,1.50216875069603,1.56158406481232,1.44528098680238,1.33496933438113,1.62691355845997,1.19657105025805,1.19657105025805,1.55166934213419,1.31391394985759,1.50216875069603,1.10782180672665,1.18912408937267,1.11110103079522,1.20344398471624,1.09091177005513,1.09091177005513,1.21394151543776,1.17699862700862,1.20621401256527,1.00373076165631,1.00298207498796,1.00333770606543,1.00359224453439,1.00286232351337,1.00286232351337,1.00311645729704,1.00239896239834,1.00246676848394
"9",1,1.29979045643578,1.54219025280337,1.29093690151589,1.59739707851326,1.24376540959598,1.24376540959598,1.56631549473879,1.39833201381419,1.55188927049185,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,0.996360032317222,1.31319333631253,1.53569487806826,1.29645138581413,1.59424808291823,1.2447916488728,1.2447916488728,1.5596905763864,1.38344566994004,1.54288004558154,1.31319333631253,1.53569487806826,1.29645138581413,1.59424808291823,1.2447916488728,1.2447916488728,1.5596905763864,1.38344566994004,1.54288004558154,0.48552378144823,1.01014988930567,0.779418399880631,0.81782832054831,0.910628082711548,0.910628082711548,0.877830893893052,1.04820947856915,0.903404790680638,0.996788721518593,0.996637211556312,0.996695774969179,0.99679236976475,0.996575772090975,0.996575772090975,0.996678136824928,0.996440535491311,0.996384194442792
"10",1,1.54645434821757,1.95788977269517,1.53637394655662,1.95738108288406,1.42079685194176,1.42079685194176,1.9684614644196,1.75536046269962,1.93768673170937,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.00450377406155,1.548643868111,1.9359482023344,1.53513311390098,1.93682522690657,1.41889516207892,1.41889516207892,1.94365273458819,1.71876166892703,1.90988642904631,1.548643868111,1.9359482023344,1.53513311390098,1.93682522690657,1.41889516207892,1.41889516207892,1.94365273458819,1.71876166892703,1.90988642904631,0.864639112289885,1.50772483355184,1.12807997785415,1.32813241147089,1.17783461485526,1.17783461485526,1.42675524284326,1.46871871290879,1.42127151413388,1.00451257367656,1.00428114499728,1.00434276114276,1.00449262433706,1.00427810408501,1.00427810408501,1.00435225136174,1.00433723033441,1.00396453857784
